listing_id,date,num_reviews,reviewers
783202,2025-08-01,3,"366644498,18665437,105207406"
783202,2025-04-01,2,"64071231,3280938"
783341,2025-09-01,1,424803680
783341,2025-10-01,1,151452106
783341,2025-08-01,1,542710593
255476,2025-09-01,1,57521520
136493,2025-11-01,1,203599678
136493,2025-09-01,1,92443101
136493,2025-08-01,1,18122130
136493,2025-07-01,3,"179455060,42509740,23669302"
257097,2025-06-01,1,52675448
1087215,2025-09-01,1,5570050
1087215,2025-05-01,1,397445447
958444,2026-01-01,1,255599749
958444,2025-11-01,1,686976541
958444,2025-09-01,1,528653316
958444,2025-05-01,1,230235043
958444,2026-02-01,1,123774893
118061,2025-05-01,1,39172372
118061,2026-01-01,1,93068556
118061,2025-08-01,1,121713561
118061,2025-06-01,1,196289888
15341,2025-08-01,1,705306713
15341,2025-07-01,1,47931032
15341,2025-05-01,1,296546768
60611,2025-08-01,1,425826175
993575,2026-01-01,1,202334396
993575,2025-10-01,1,551892778
294259,2025-11-01,2,"39232447,217405993"
294259,2025-05-01,1,489376983
294259,2025-10-01,1,71210965
294259,2025-06-01,1,40907520
294259,2025-04-01,1,470091111
321136,2025-04-01,1,255520239
597544,2025-06-01,1,472601350
597544,2025-08-01,1,187418417
188803,2025-10-01,1,11898041
322037,2025-07-01,1,225653590
844319,2025-06-01,1,667391334
295998,2026-03-01,1,48358086
295998,2025-09-01,1,103034555
295998,2025-08-01,1,83133917
295998,2025-04-01,1,11575490
936218,2025-08-01,1,140269410
936218,2025-07-01,1,367209831
936218,2025-04-01,1,227311882
288726,2025-08-01,1,432113109
288726,2025-05-01,1,521070794
753687,2025-11-01,2,"535580020,181868085"
753687,2025-07-01,4,"444454279,111662523,36292246,495455667"
753687,2025-10-01,2,"506647572,32698390"
753687,2025-06-01,1,346950191
753687,2026-01-01,1,22321914
753687,2025-09-01,4,"20285334,102434873,91566940,392958827"
753687,2025-05-01,2,"91100545,15186630"
753687,2025-12-01,2,"456557479,128776107"
753687,2025-08-01,1,74158457
753687,2025-04-01,2,"456557479,25327424"
150804,2026-03-01,1,7806954
150804,2025-12-01,4,"92445332,6359931,328968026,493750818"
150804,2025-11-01,1,6424386
150804,2025-10-01,3,"201965536,12649409,12737752"
150804,2025-09-01,2,"452085025,392216759"
150804,2025-05-01,2,"317486093,26470654"
150804,2025-04-01,3,"113862,452664267,166700970"
753991,2026-03-01,1,5790520
753991,2025-05-01,1,120776244
753991,2025-08-01,1,479255393
794156,2025-04-01,1,113386795
530576,2025-06-01,1,1195274
450577,2025-08-01,1,45131674
106363,2025-11-01,1,185506374
106363,2025-05-01,1,597452175
106363,2025-12-01,1,58129906
106363,2025-08-01,2,"102719925,654898346"
873701,2025-11-01,1,2312251
873701,2025-07-01,1,52169282
873701,2025-10-01,1,557428473
1039984,2025-10-01,1,87392347
1039984,2025-07-01,1,685429483
26785,2025-09-01,1,339943250
213330,2026-01-01,1,351193071
213330,2025-09-01,2,"43407478,680939544"
213330,2025-05-01,1,240362420
213330,2025-12-01,1,32784528
213330,2025-10-01,2,"117681662,20408019"
213330,2025-08-01,1,71463950
213330,2025-06-01,3,"54219831,208735141,1029316"
213330,2025-04-01,2,"6605560,70537206"
666837,2026-01-01,1,730115929
666837,2025-05-01,1,53475121
666837,2025-12-01,1,25880729
666837,2025-06-01,1,132951380
299531,2025-09-01,1,533530652
299531,2025-06-01,1,431791833
299531,2025-08-01,1,116901417
100186,2025-12-01,1,137145166
100186,2025-08-01,1,26794003
100186,2025-04-01,1,93180850
69894,2025-06-01,1,250951702
6848,2025-11-01,1,231282457
6848,2025-10-01,1,2747203
6848,2025-04-01,1,179801712
850338,2025-06-01,1,174727355
1187643,2025-09-01,1,23780229
973535,2025-07-01,1,435336914
973535,2025-05-01,1,685261896
973535,2025-08-01,1,553526326
1263964,2025-07-01,1,416138048
927408,2025-12-01,1,655778780
927408,2025-11-01,1,22461280
927408,2025-05-01,1,506173642
684808,2025-10-01,1,591232054
684808,2025-08-01,1,438657991
684808,2025-05-01,1,218712268
781865,2025-05-01,1,234007203
781865,2026-02-01,1,458584078
781865,2025-08-01,1,447942639
12192,2025-07-01,1,682932464
12192,2026-01-01,1,723436394
984721,2025-05-01,1,553206434
66974,2025-11-01,1,80559395
66974,2025-08-01,1,16243472
455734,2025-08-01,1,466388180
498052,2025-07-01,1,48728258
498052,2025-06-01,1,220867550
498052,2025-09-01,2,"98654457,5416638"
498052,2025-05-01,1,17422217
498052,2025-12-01,1,129042704
498052,2025-08-01,4,"413396440,48528007,71207754,53929593"
498052,2025-04-01,3,"142205271,276581864,72479684"
49048,2025-09-01,1,42291538
49048,2025-07-01,1,182336320
49048,2025-06-01,1,74480186
711635,2025-08-01,1,396074223
826685,2025-05-01,1,227420345
886808,2026-03-01,1,43587368
886808,2025-11-01,7,"147579494,582886255,724444187,4964002,561601171,694334351,485834704"
886808,2025-07-01,3,"565075,46978129,329228259"
886808,2025-10-01,4,"4964002,4964002,14366235,4964002"
886808,2025-06-01,8,"196227497,693114155,18043868,565813906,37513518,668139589,53355884,107629081"
886808,2026-01-01,7,"408453550,522762480,4964002,179459206,4964002,4964002,533984808"
